date,pre_close,open,high,low,close,changeinprice,changeinrate,diffrate
1990/12/20,100.000 ,104.300 ,104.390 ,99.980 ,104.390 ,4.390 ,4.390 ,4.300 
1990/12/21,104.390 ,109.070 ,109.130 ,103.730 ,109.130 ,4.740 ,4.541 ,4.483 
1990/12/24,109.130 ,113.570 ,114.550 ,109.130 ,114.550 ,5.420 ,4.967 ,4.069 
1990/12/25,114.550 ,120.090 ,120.250 ,114.550 ,120.250 ,5.700 ,4.976 ,4.836 
1990/12/26,120.250 ,125.270 ,125.270 ,120.250 ,125.270 ,5.020 ,4.175 ,4.175 
1990/12/27,125.270 ,125.270 ,125.280 ,125.270 ,125.280 ,0.010 ,0.008 ,0.000 
1990/12/28,125.280 ,126.390 ,126.450 ,125.280 ,126.450 ,1.170 ,0.934 ,0.886 
1990/12/31,126.450 ,126.560 ,127.610 ,126.480 ,127.610 ,1.160 ,0.917 ,0.087 
1991/1/2,127.610 ,127.610 ,128.840 ,127.610 ,128.840 ,1.230 ,0.964 ,0.000 
1991/1/3,128.840 ,128.840 ,130.140 ,128.840 ,130.140 ,1.300 ,1.009 ,0.000 
1991/1/4,130.140 ,131.270 ,131.440 ,130.140 ,131.440 ,1.300 ,0.999 ,0.868 
1991/1/7,131.440 ,131.990 ,132.060 ,131.450 ,132.060 ,0.620 ,0.472 ,0.418 
1991/1/8,132.060 ,132.620 ,132.680 ,132.060 ,132.680 ,0.620 ,0.470 ,0.424 
1991/1/9,132.680 ,133.300 ,133.340 ,132.680 ,133.340 ,0.660 ,0.497 ,0.467 
1991/1/10,133.340 ,133.930 ,133.970 ,133.340 ,133.970 ,0.630 ,0.473 ,0.442 
1991/1/11,133.970 ,134.610 ,134.610 ,134.510 ,134.600 ,0.630 ,0.470 ,0.478 
1991/1/14,134.600 ,134.110 ,135.190 ,134.110 ,134.670 ,0.070 ,0.052 ,-0.364 
1991/1/15,134.670 ,134.210 ,134.740 ,134.190 ,134.740 ,0.070 ,0.052 ,-0.342 
1991/1/16,134.740 ,134.190 ,134.740 ,134.140 ,134.240 ,-0.500 ,-0.371 ,-0.408 
1991/1/17,134.240 ,133.670 ,134.250 ,133.650 ,134.250 ,0.010 ,0.007 ,-0.425 
1991/1/18,134.250 ,133.700 ,134.250 ,133.670 ,134.240 ,-0.010 ,-0.007 ,-0.410 
1991/1/21,134.240 ,133.700 ,134.240 ,133.660 ,134.240 ,0.000 ,0.000 ,-0.402 
1991/1/22,134.240 ,133.720 ,134.240 ,133.660 ,133.720 ,-0.520 ,-0.387 ,-0.387 
